user_id,email_opened,email_clicked,bought_coffee,bought_pastry,channel
U100000,0,0,0,0,mobile
U100001,0,0,1,0,desktop
U100002,0,0,0,0,desktop
U100003,0,0,1,0,desktop
U100004,0,0,0,0,desktop
U100005,0,0,0,0,mobile
U100006,0,0,1,1,mobile
U100007,1,0,0,0,mobile
U100008,0,0,1,1,desktop
U100009,0,0,0,0,tablet
U100010,1,0,0,0,mobile
U100011,0,0,1,0,mobile
U100012,1,1,1,0,mobile
U100013,0,0,0,0,desktop
U100014,0,0,0,0,mobile
U100015,1,1,1,1,desktop
U100016,0,0,0,0,mobile
U100017,0,0,1,1,mobile
U100018,0,0,1,0,mobile
U100019,1,1,0,0,desktop
U100020,0,0,1,0,mobile
U100021,0,0,0,1,tablet
U100022,0,0,0,0,mobile
U100023,0,0,0,0,mobile
U100024,0,0,0,0,mobile
U100025,0,0,0,0,tablet
U100026,0,0,0,0,desktop
U100027,0,0,0,0,mobile
U100028,1,1,0,0,desktop
U100029,0,0,0,0,mobile
U100030,0,0,1,1,mobile
U100031,0,0,0,0,mobile
U100032,0,0,0,0,desktop
U100033,0,0,0,0,mobile
U100034,0,0,0,0,mobile
U100035,1,1,0,1,mobile
U100036,0,0,0,0,mobile
U100037,0,0,1,1,mobile
U100038,1,1,0,0,mobile
U100039,0,0,1,0,mobile
U100040,0,0,0,0,tablet
U100041,1,0,0,0,mobile
U100042,0,0,1,1,mobile
U100043,0,0,1,0,mobile
U100044,0,0,0,0,mobile
U100045,1,0,1,0,desktop
U100046,0,0,1,0,mobile
U100047,0,0,0,0,desktop
U100048,0,0,1,1,desktop
U100049,0,0,0,0,desktop
U100050,1,1,0,0,mobile
U100051,0,0,1,0,mobile
U100052,1,0,1,0,mobile
U100053,1,0,0,0,desktop
U100054,0,0,0,0,mobile
U100055,0,0,0,0,mobile
U100056,0,0,0,1,mobile
U100057,0,0,0,0,desktop
U100058,0,0,1,1,desktop
U100059,0,0,1,0,mobile
U100060,0,0,1,1,mobile
U100061,0,0,1,0,mobile
U100062,0,0,0,1,mobile
U100063,1,0,0,0,desktop
U100064,0,0,1,1,desktop
U100065,0,0,0,0,desktop
U100066,0,0,1,0,mobile
U100067,1,1,0,1,desktop
U100068,0,0,0,0,tablet
U100069,0,0,0,0,desktop
U100070,0,0,0,0,desktop
