order_id,order_value_inr,region,session_duration_sec
O1000000,408,East,127
O1000001,229,North,8
O1000002,442,North,2
O1000003,265,South,18
O1000004,642,East,37
O1000005,313,West,42
O1000006,267,East,64
O1000007,381,South,132
O1000008,484,East,109
O1000009,221,North,116
O1000010,311,East,5
O1000011,425,South,2
O1000012,788,North,38
O1000013,114,East,18
O1000014,549,South,101
O1000015,333,East,124
O1000016,315,East,38
O1000017,287,South,63
O1000018,336,West,16
O1000019,550,South,52
O1000020,308,West,69
O1000021,925,North,27
O1000022,551,North,59
O1000023,445,East,2
O1000024,371,South,93
O1000025,731,South,49
O1000026,787,West,3
O1000027,226,North,37
O1000028,284,South,55
O1000029,554,South,5
O1000030,644,South,254
O1000031,347,West,81
O1000032,278,West,18
O1000033,420,North,96
O1000034,844,East,87
O1000035,412,South,16
O1000036,214,South,93
O1000037,426,South,5
O1000038,597,South,68
O1000039,383,South,58
O1000040,757,South,185
O1000041,622,East,61
O1000042,391,West,26
O1000043,412,South,45
O1000044,161,South,243
O1000045,739,West,9
O1000046,342,North,66
O1000047,330,West,82
O1000048,306,South,96
O1000049,507,South,123
O1000050,229,North,65
O1000051,247,North,43
O1000052,393,East,36
O1000053,295,West,21
O1000054,477,South,150
O1000055,300,North,15
O1000056,896,South,114
O1000057,571,North,43
O1000058,567,West,8
O1000059,298,South,73
O1000060,1343,West,54
O1000061,324,East,6
O1000062,282,East,2
O1000063,574,South,8
O1000064,445,South,65
O1000065,268,North,38
O1000066,1209,West,5
O1000067,657,North,61
O1000068,404,North,33
O1000069,1340,South,63
O1000070,605,South,91
O1000071,401,North,2
O1000072,1262,South,3
O1000073,561,North,83
O1000074,549,East,3
O1000075,333,South,49
O1000076,414,East,97
O1000077,329,North,4
O1000078,829,South,69
O1000079,180,North,7
O1000080,799,South,73
O1000081,260,South,94
O1000082,392,North,7
O1000083,348,West,128
O1000084,311,West,82
O1000085,570,East,25
O1000086,402,East,2
O1000087,289,South,9
O1000088,436,South,30
